127.0.0.1 - - [02/Mar/2023:02:23:34 -0500] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [02/Mar/2023:02:23:35 -0500] "GET /BlogApp/ HTTP/1.1" 200 220
0:0:0:0:0:0:0:1 - - [02/Mar/2023:02:23:35 -0500] "GET /BlogApp/resources/css/myfile.css HTTP/1.1" 200 643
0:0:0:0:0:0:0:1 - - [02/Mar/2023:02:23:35 -0500] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [02/Mar/2023:02:23:35 -0500] "GET /apple-touch-icon.png HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [02/Mar/2023:02:24:00 -0500] "GET /BlogApp/ HTTP/1.1" 200 220
0:0:0:0:0:0:0:1 - - [02/Mar/2023:02:24:00 -0500] "GET /BlogApp/resources/css/myfile.css HTTP/1.1" 200 643
0:0:0:0:0:0:0:1 - - [02/Mar/2023:02:24:00 -0500] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [02/Mar/2023:02:24:02 -0500] "GET /BlogApp/createblog HTTP/1.1" 200 1025
0:0:0:0:0:0:0:1 - - [02/Mar/2023:02:24:02 -0500] "GET /BlogApp/resources/Js/app.js HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [02/Mar/2023:02:25:41 -0500] "GET /BlogApp/createblog HTTP/1.1" 200 1057
0:0:0:0:0:0:0:1 - - [02/Mar/2023:02:26:43 -0500] "GET /BlogApp/createblog HTTP/1.1" 200 1075
0:0:0:0:0:0:0:1 - - [02/Mar/2023:02:27:52 -0500] "GET /BlogApp/createblog HTTP/1.1" 200 1018
0:0:0:0:0:0:0:1 - - [02/Mar/2023:02:30:11 -0500] "GET /BlogApp/createblog HTTP/1.1" 200 1051
0:0:0:0:0:0:0:1 - - [02/Mar/2023:02:30:13 -0500] "GET /BlogApp/createblog HTTP/1.1" 200 1051
0:0:0:0:0:0:0:1 - - [02/Mar/2023:02:30:34 -0500] "GET /BlogApp/createblog HTTP/1.1" 200 1051
0:0:0:0:0:0:0:1 - - [02/Mar/2023:02:31:43 -0500] "GET /BlogApp/createblog HTTP/1.1" 200 1051
0:0:0:0:0:0:0:1 - - [02/Mar/2023:02:31:44 -0500] "GET /BlogApp/createblog HTTP/1.1" 200 1051
0:0:0:0:0:0:0:1 - - [02/Mar/2023:02:31:45 -0500] "GET /BlogApp/createblog HTTP/1.1" 200 1051
0:0:0:0:0:0:0:1 - - [02/Mar/2023:02:31:48 -0500] "GET /BlogApp/createblog HTTP/1.1" 200 1051
0:0:0:0:0:0:0:1 - - [02/Mar/2023:02:31:48 -0500] "GET /BlogApp/createblog HTTP/1.1" 200 1051
0:0:0:0:0:0:0:1 - - [02/Mar/2023:02:31:48 -0500] "GET /BlogApp/createblog HTTP/1.1" 200 1051
0:0:0:0:0:0:0:1 - - [02/Mar/2023:02:31:49 -0500] "GET /BlogApp/createblog HTTP/1.1" 200 1051
0:0:0:0:0:0:0:1 - - [02/Mar/2023:02:31:51 -0500] "GET /BlogApp/createblog HTTP/1.1" 200 1051
0:0:0:0:0:0:0:1 - - [02/Mar/2023:02:32:45 -0500] "GET /BlogApp/createblog HTTP/1.1" 200 1051
0:0:0:0:0:0:0:1 - - [02/Mar/2023:02:32:45 -0500] "GET /BlogApp/resources/css/myfile.css HTTP/1.1" 200 730
0:0:0:0:0:0:0:1 - - [02/Mar/2023:02:32:45 -0500] "GET /BlogApp/resources/Js/app.js HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [02/Mar/2023:02:33:12 -0500] "GET /BlogApp/createblog HTTP/1.1" 200 1051
0:0:0:0:0:0:0:1 - - [02/Mar/2023:02:33:12 -0500] "GET /BlogApp/resources/css/myfile.css HTTP/1.1" 200 730
0:0:0:0:0:0:0:1 - - [02/Mar/2023:02:33:31 -0500] "GET /BlogApp/createblog HTTP/1.1" 200 1051
