127.0.0.1 - - [11/Apr/2023:09:33:38 -0400] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [11/Apr/2023:09:33:39 -0400] "GET /BlogApp/ HTTP/1.1" 200 1774
0:0:0:0:0:0:0:1 - - [11/Apr/2023:09:33:39 -0400] "GET /BlogApp/resources/css/myfile.css HTTP/1.1" 200 6846
0:0:0:0:0:0:0:1 - - [11/Apr/2023:09:33:39 -0400] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [11/Apr/2023:09:34:03 -0400] "GET /BlogApp/ HTTP/1.1" 200 1774
0:0:0:0:0:0:0:1 - - [11/Apr/2023:09:34:03 -0400] "GET /BlogApp/resources/css/myfile.css HTTP/1.1" 200 6846
0:0:0:0:0:0:0:1 - - [11/Apr/2023:09:34:05 -0400] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [11/Apr/2023:09:34:09 -0400] "GET /BlogApp/showallblog HTTP/1.1" 200 3634
0:0:0:0:0:0:0:1 - - [11/Apr/2023:09:34:16 -0400] "GET /BlogApp/createblog HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Apr/2023:09:34:16 -0400] "GET /BlogApp/userlogin HTTP/1.1" 200 2515
0:0:0:0:0:0:0:1 - - [11/Apr/2023:09:34:16 -0400] "GET /BlogApp/resources/css/myfile.css?v=3 HTTP/1.1" 200 6846
0:0:0:0:0:0:0:1 - - [11/Apr/2023:09:34:16 -0400] "GET /BlogApp/resources/Js/app.js?203 HTTP/1.1" 200 1346
0:0:0:0:0:0:0:1 - - [11/Apr/2023:09:34:38 -0400] "POST /BlogApp/getuser HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Apr/2023:09:34:38 -0400] "GET /BlogApp/createblog HTTP/1.1" 200 2496
0:0:0:0:0:0:0:1 - - [11/Apr/2023:09:34:38 -0400] "GET /BlogApp/resources/css/myfile.css?v=2 HTTP/1.1" 200 6846
0:0:0:0:0:0:0:1 - - [11/Apr/2023:09:34:38 -0400] "GET /BlogApp/resources/Js/app.js HTTP/1.1" 200 1346
0:0:0:0:0:0:0:1 - - [11/Apr/2023:09:36:22 -0400] "POST /BlogApp/getuser HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Apr/2023:09:36:22 -0400] "GET /BlogApp/createblog HTTP/1.1" 200 2496
0:0:0:0:0:0:0:1 - - [11/Apr/2023:09:37:12 -0400] "POST /BlogApp/getblog HTTP/1.1" 200 1632
0:0:0:0:0:0:0:1 - - [11/Apr/2023:09:37:14 -0400] "GET /BlogApp/viewblog HTTP/1.1" 200 1899
0:0:0:0:0:0:0:1 - - [11/Apr/2023:09:37:14 -0400] "GET /BlogApp/resources/css/myfile.css?v=4 HTTP/1.1" 200 6846
