127.0.0.1 - - [16/May/2023:11:09:12 -0400] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [16/May/2023:11:09:13 -0400] "GET /BlogApp/ HTTP/1.1" 200 1803
0:0:0:0:0:0:0:1 - - [16/May/2023:11:09:14 -0400] "GET /BlogApp/resources/css/myfile.css HTTP/1.1" 200 7314
0:0:0:0:0:0:0:1 - - [16/May/2023:11:09:14 -0400] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [16/May/2023:11:09:24 -0400] "GET /BlogApp/ HTTP/1.1" 200 1803
0:0:0:0:0:0:0:1 - - [16/May/2023:11:09:24 -0400] "GET /BlogApp/resources/css/myfile.css HTTP/1.1" 200 7314
0:0:0:0:0:0:0:1 - - [16/May/2023:11:09:24 -0400] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [16/May/2023:11:09:26 -0400] "GET /BlogApp/userlogin HTTP/1.1" 200 2499
0:0:0:0:0:0:0:1 - - [16/May/2023:11:09:26 -0400] "GET /BlogApp/resources/css/myfile.css?v=3 HTTP/1.1" 200 7314
0:0:0:0:0:0:0:1 - - [16/May/2023:11:09:26 -0400] "GET /BlogApp/resources/Js/app.js?203 HTTP/1.1" 200 1346
0:0:0:0:0:0:0:1 - - [16/May/2023:11:09:41 -0400] "POST /BlogApp/getuser HTTP/1.1" 200 1815
0:0:0:0:0:0:0:1 - - [16/May/2023:11:09:41 -0400] "GET /BlogApp/resources/css/myfile.css?v=1 HTTP/1.1" 200 7314
0:0:0:0:0:0:0:1 - - [16/May/2023:11:09:44 -0400] "GET /BlogApp/createblog HTTP/1.1" 200 2485
0:0:0:0:0:0:0:1 - - [16/May/2023:11:09:44 -0400] "GET /BlogApp/resources/css/myfile.css?v=2 HTTP/1.1" 200 7314
0:0:0:0:0:0:0:1 - - [16/May/2023:11:09:44 -0400] "GET /BlogApp/resources/Js/app.js HTTP/1.1" 200 1346
0:0:0:0:0:0:0:1 - - [16/May/2023:11:10:00 -0400] "GET /BlogApp/resources/css/myfile.css?v=2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2023:11:11:52 -0400] "GET /BlogApp/createblog HTTP/1.1" 200 2485
0:0:0:0:0:0:0:1 - - [16/May/2023:11:11:52 -0400] "GET /BlogApp/resources/css/myfile.css?v=2 HTTP/1.1" 200 7314
0:0:0:0:0:0:0:1 - - [16/May/2023:11:11:52 -0400] "GET /BlogApp/resources/Js/app.js HTTP/1.1" 200 1346
0:0:0:0:0:0:0:1 - - [16/May/2023:11:11:59 -0400] "GET /BlogApp/resources/css/myfile.css?v=2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2023:11:12:40 -0400] "GET /BlogApp/createblog HTTP/1.1" 200 2485
0:0:0:0:0:0:0:1 - - [16/May/2023:11:12:40 -0400] "GET /BlogApp/resources/Js/app.js HTTP/1.1" 200 1346
0:0:0:0:0:0:0:1 - - [16/May/2023:11:12:40 -0400] "GET /BlogApp/resources/css/myfile.css?v=2 HTTP/1.1" 200 7312
0:0:0:0:0:0:0:1 - - [16/May/2023:11:14:05 -0400] "GET /BlogApp/resources/css/myfile.css?v=2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2023:11:14:41 -0400] "GET /BlogApp/createblog HTTP/1.1" 200 2485
0:0:0:0:0:0:0:1 - - [16/May/2023:11:14:41 -0400] "GET /BlogApp/resources/css/myfile.css?v=2 HTTP/1.1" 200 7330
0:0:0:0:0:0:0:1 - - [16/May/2023:11:14:41 -0400] "GET /BlogApp/resources/Js/app.js HTTP/1.1" 200 1346
0:0:0:0:0:0:0:1 - - [16/May/2023:11:15:06 -0400] "GET /BlogApp/createblog HTTP/1.1" 200 2485
0:0:0:0:0:0:0:1 - - [16/May/2023:11:15:06 -0400] "GET /BlogApp/resources/css/myfile.css?v=2 HTTP/1.1" 200 7330
0:0:0:0:0:0:0:1 - - [16/May/2023:11:15:33 -0400] "GET /BlogApp/createblog HTTP/1.1" 200 2485
0:0:0:0:0:0:0:1 - - [16/May/2023:11:15:33 -0400] "GET /BlogApp/resources/css/myfile.css?v=2 HTTP/1.1" 200 7330
0:0:0:0:0:0:0:1 - - [16/May/2023:11:15:59 -0400] "GET /BlogApp/createblog HTTP/1.1" 200 2485
0:0:0:0:0:0:0:1 - - [16/May/2023:11:15:59 -0400] "GET /BlogApp/resources/css/myfile.css?v=2 HTTP/1.1" 200 7330
0:0:0:0:0:0:0:1 - - [16/May/2023:11:29:42 -0400] "GET /BlogApp/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/May/2023:11:29:42 -0400] "GET /BlogApp/userlogin HTTP/1.1" 200 2499
0:0:0:0:0:0:0:1 - - [16/May/2023:11:29:42 -0400] "GET /BlogApp/resources/css/myfile.css?v=3 HTTP/1.1" 200 7330
0:0:0:0:0:0:0:1 - - [16/May/2023:11:30:07 -0400] "POST /BlogApp/getuser HTTP/1.1" 200 1815
0:0:0:0:0:0:0:1 - - [16/May/2023:11:30:07 -0400] "GET /BlogApp/resources/css/myfile.css?v=1 HTTP/1.1" 200 7330
